feature,coefficient,abs_coefficient
cat__DEST_BET,-1.7660819366274503,1.7660819366274503
cat__ORIGIN_VLD,-1.6130646200200918,1.6130646200200918
cat__DEST_PSG,-1.3204351139251502,1.3204351139251502
cat__DEST_GCK,-1.2618586465590456,1.2618586465590456
cat__DEST_COD,1.197714462335243,1.197714462335243
cat__ORIGIN_PRC,1.1710786421332045,1.1710786421332045
cat__DEST_WRG,1.1312327980147747,1.1312327980147747
cat__ORIGIN_DLG,1.1197514739390644,1.1197514739390644
cat__DEST_JAC,1.0250550261829847,1.0250550261829847
cat__DEST_SWO,-1.0212682777142874,1.0212682777142874
cat__ORIGIN_ATL,-0.9899506288980616,0.9899506288980616
cat__DEST_GJT,-0.972853992583216,0.972853992583216
cat__DEST_OTZ,0.9723036126827934,0.9723036126827934
cat__ORIGIN_PGV,0.9557938985755426,0.9557938985755426
cat__DEST_RIW,-0.9454096117028604,0.9454096117028604
cat__DEST_GCC,-0.9399933696969516,0.9399933696969516
cat__ORIGIN_BGM,0.9282904026058321,0.9282904026058321
cat__DEST_ADQ,0.9151594603825186,0.9151594603825186
cat__ORIGIN_ALO,-0.910063202819698,0.910063202819698
cat__DEST_EAU,-0.8895041792747936,0.8895041792747936
cat__ORIGIN_STATE_ABR_HI,-0.8696989479967336,0.8696989479967336
cat__DEST_SPS,-0.8555203477607501,0.8555203477607501
cat__DEST_LWS,-0.8272177422071284,0.8272177422071284
cat__ORIGIN_BQK,0.8243866005233079,0.8243866005233079
cat__ORIGIN_SCC,-0.8230475680347766,0.8230475680347766
cat__DEST_YUM,-0.8217402536519237,0.8217402536519237
cat__DEST_DRT,-0.7880299469859844,0.7880299469859844
cat__ORIGIN_GRI,0.7774117732030421,0.7774117732030421
cat__ORIGIN_HDN,0.7540793513259557,0.7540793513259557
cat__DEST_FSM,-0.7537949825408968,0.7537949825408968
cat__ORIGIN_VEL,-0.7239564233807098,0.7239564233807098
cat__ORIGIN_IMT,0.7208449679357043,0.7208449679357043
cat__DEST_BRW,-0.7007780642760554,0.7007780642760554
cat__ORIGIN_LAX,-0.6979266196735622,0.6979266196735622
