model,threshold,accuracy,precision,recall,f1
Random Forest,0.5,0.8098793430759234,0.5294247299977959,0.15814075976035288,0.24353644935617966
Random Forest,0.4,0.761170639723776,0.3896885469661248,0.41352294423596025,0.4012521161401603
Random Forest,0.35,0.6932485634563685,0.33078182718306104,0.5718612153532161,0.4191275815479637
Random Forest,0.3,0.5855109763400308,0.2799725964832153,0.7264467706893146,0.40417582417582415
Logistic Regression,0.5,0.628422541312574,0.287646254368637,0.6231483310290342,0.3936041917910758
Logistic Regression,0.4,0.460356492157937,0.23975935931333103,0.8238857067614721,0.3714289954439547
Logistic Regression,0.35,0.3745461031763222,0.2228453702643928,0.8972940944104286,0.3570231047309687
Logistic Regression,0.3,0.2980493584924892,0.20942255879997088,0.9467377707551518,0.34297707920910153
Gradient Boosting,0.5,0.8121090116834635,0.6349206349206349,0.06847060372638093,0.12361086349319546
Gradient Boosting,0.4,0.8107457285919961,0.5375982042648709,0.15767989992757916,0.24384035837914886
Gradient Boosting,0.35,0.804833921541147,0.49104042228087236,0.2327342155507275,0.31579417545113453
Gradient Boosting,0.3,0.7859772956030935,0.4312686885946177,0.33234577654881825,0.3753997174090875
