feature,importance
num__CRS_DEP_HOUR,0.043377527763727865
num__CRS_ARR_HOUR,0.040410726455447306
num__ORIGIN_Air_Carrier,0.02782336210542318
num__ORIGIN_Total_Operations,0.027575351438543436
num__DEST_Air_Carrier,0.027368555881996718
num__ORIGIN_Total_Itinerant,0.027360222100950148
num__DEST_Total_Operations,0.02702415729459874
num__DEST_Total_Itinerant,0.027004438319980385
num__DEST_Air_Taxi,0.02689127503394562
num__ORIGIN_Air_Taxi,0.026873209649260897
num__ORIGIN_TAVG,0.026695845581982406
num__CRS_ELAPSED_TIME,0.026657013092872685
num__ORIGIN_TMIN,0.02642291989650789
num__ORIGIN_TMAX,0.026420931149976287
num__DEST_TAVG,0.02570000935234401
num__DEST_General_Aviation,0.025693962561344635
num__ORIGIN_General_Aviation,0.025553491641236752
num__DEST_TMIN,0.025429207074666085
num__DEST_AWND,0.025247637981592585
num__DEST_TMAX,0.025216108740783554
num__ORIGIN_AWND,0.024965691557053794
num__ORIGIN_PRCP,0.024835612167229324
num__DISTANCE,0.02476822228023999
num__FL_DAY,0.024058206461174285
num__DEST_WSF2,0.023391590317730193
num__ORIGIN_WSF2,0.023222149955531794
num__DEST_PRCP,0.02298005480164668
num__MONTH,0.019106530604964363
num__DEST_Military_Itinerant,0.01657056750215162
num__ORIGIN_Military_Itinerant,0.01652238656202258
num__DAY_OF_WEEK,0.015481189343466886
num__DEST_Local_Total,0.006598386529602679
num__DEST_Local_Civil,0.006239816828714364
num__ORIGIN_Local_Total,0.006082095356013352
num__ORIGIN_Local_Civil,0.005736609233086349
cat__OP_UNIQUE_CARRIER_DL,0.004797311243982894
cat__OP_UNIQUE_CARRIER_WN,0.003901697755068072
num__ORIGIN_SNWD,0.003101081771862239
cat__OP_UNIQUE_CARRIER_AA,0.002868611505132476
cat__OP_UNIQUE_CARRIER_OO,0.002679621602304913
num__DEST_Local_Military,0.0026339736235477516
cat__OP_UNIQUE_CARRIER_UA,0.002520669161533457
cat__DEST_STATE_ABR_TX,0.002350065725920513
cat__DEST_STATE_ABR_CA,0.002340876268035685
cat__ORIGIN_STATE_ABR_TX,0.002246996165586165
num__ORIGIN_Local_Military,0.0022398346558901165
num__DEST_SNWD,0.002228297012020606
cat__ORIGIN_STATE_ABR_CA,0.0021731947308653234
cat__OP_UNIQUE_CARRIER_B6,0.002109930066021301
cat__DEST_STATE_ABR_FL,0.0018609834852082782
cat__ORIGIN_STATE_ABR_FL,0.0017684494407973394
cat__OP_UNIQUE_CARRIER_F9,0.0017249790809147985
cat__DEST_STATE_ABR_NY,0.001508352129990207
cat__ORIGIN_STATE_ABR_NY,0.001481683624000294
cat__DEST_STATE_ABR_IL,0.0014470659360576227
cat__ORIGIN_STATE_ABR_IL,0.0013950544709363047
cat__OP_UNIQUE_CARRIER_NK,0.0013637077180722343
cat__OP_UNIQUE_CARRIER_EV,0.0013100402575320098
cat__OP_UNIQUE_CARRIER_YX,0.0012445546626265742
cat__DEST_STATE_ABR_GA,0.0012435488795358306
cat__DEST_STATE_ABR_NC,0.001230464567820956
cat__DEST_SFO,0.0012246173887633595
cat__OP_UNIQUE_CARRIER_MQ,0.0011935817808949982
cat__OP_UNIQUE_CARRIER_AS,0.001185634052789053
cat__ORIGIN_STATE_ABR_GA,0.0011851189415227024
cat__DEST_STATE_ABR_VA,0.0011836141280771157
cat__DEST_ATL,0.0011639959133017215
cat__DEST_DFW,0.0011537643625906071
cat__ORIGIN_STATE_ABR_NC,0.0011441576248702034
cat__ORIGIN_STATE_ABR_VA,0.0010711056735674695
cat__ORIGIN_ATL,0.001070106766355421
cat__DEST_LAX,0.001028816700271283
cat__DEST_STATE_ABR_MI,0.001020916689856895
cat__DEST_STATE_ABR_CO,0.0010022963297963748
cat__DEST_ORD,0.0009916626545880818
cat__ORIGIN_DFW,0.0009805858773810354
cat__DEST_EWR,0.0009706230179137623
cat__DEST_STATE_ABR_AZ,0.0009690546664208821
cat__ORIGIN_STATE_ABR_MI,0.0009513033994824718
cat__ORIGIN_STATE_ABR_AZ,0.0009496308381502932
cat__DEST_STATE_ABR_NJ,0.0009362938863082495
cat__OP_UNIQUE_CARRIER_9E,0.0009182029402327217
cat__ORIGIN_SFO,0.0009148333967705311
cat__DEST_IAH,0.000907612758257838
cat__ORIGIN_STATE_ABR_MN,0.000892161425688023
cat__ORIGIN_ORD,0.0008915344443949982
cat__DEST_STATE_ABR_NV,0.0008907228597222858
cat__ORIGIN_LAX,0.0008886593780942799
cat__DEST_STATE_ABR_PA,0.0008832326678145467
cat__ORIGIN_STATE_ABR_CO,0.0008827598671568968
cat__ORIGIN_STATE_ABR_PA,0.0008781030610957263
cat__DEST_STATE_ABR_WA,0.0008761042448230344
cat__DEST_CLT,0.0008752406043833877
cat__DEST_DTW,0.0008716161130093349
cat__DEST_LGA,0.000866349581956844
cat__DEST_PHX,0.0008645547972484607
cat__ORIGIN_IAH,0.0008477460528929372
cat__DEST_DEN,0.000845006367789688
cat__DEST_STATE_ABR_MN,0.0008437726244918761
cat__OP_UNIQUE_CARRIER_OH,0.0008350531962601804
cat__DEST_MCO,0.0008291718831369876
cat__DEST_BOS,0.0008225886636844051
cat__ORIGIN_LGA,0.000819934486439881
cat__DEST_STATE_ABR_MA,0.0008182704091117251
cat__ORIGIN_PHX,0.0008132917599310277
cat__ORIGIN_STATE_ABR_NJ,0.0008121219730581103
cat__DEST_MSP,0.0008034241211375314
cat__ORIGIN_MSP,0.0008025006213175644
cat__ORIGIN_STATE_ABR_NV,0.0008015513020932296
cat__ORIGIN_EWR,0.0007992064559180428
cat__ORIGIN_DTW,0.0007943949831623278
cat__DEST_LAS,0.0007937331076111847
cat__ORIGIN_STATE_ABR_WA,0.0007886645310537437
cat__DEST_STATE_ABR_MO,0.0007776202849175673
cat__DEST_STATE_ABR_TN,0.0007660063078316022
cat__ORIGIN_CLT,0.000764537642509279
cat__ORIGIN_MCO,0.0007607968580609712
cat__DEST_SEA,0.0007587260446306333
cat__DEST_STATE_ABR_UT,0.0007572688978931052
cat__ORIGIN_STATE_ABR_TN,0.000753732713177702
cat__ORIGIN_DEN,0.0007522170755267866
cat__ORIGIN_BOS,0.0007505145881989566
cat__ORIGIN_STATE_ABR_MA,0.000746568307664325
cat__DEST_DCA,0.0007379587212282156
cat__ORIGIN_LAS,0.0007131917745594827
cat__DEST_SLC,0.0007119321003415762
cat__ORIGIN_STATE_ABR_MO,0.0006886559597806172
cat__ORIGIN_SEA,0.0006647642040944531
cat__ORIGIN_JFK,0.0006644451235778206
cat__DEST_STATE_ABR_OH,0.0006537441673658042
cat__DEST_JFK,0.000653053521290427
cat__ORIGIN_STATE_ABR_UT,0.0006522367675681887
cat__DEST_BWI,0.000632804762340283
cat__ORIGIN_SLC,0.0006301996694120605
cat__ORIGIN_DCA,0.0006261188743041772
cat__ORIGIN_BWI,0.0006245082317697171
cat__DEST_PHL,0.0006221106206820703
cat__DEST_STATE_ABR_MD,0.0006216034570352752
cat__ORIGIN_STATE_ABR_MD,0.0006210874677884115
cat__ORIGIN_PHL,0.0006058975268775981
cat__ORIGIN_STATE_ABR_HI,0.0005926458255842947
cat__DEST_SAN,0.0005895799821594603
cat__OP_UNIQUE_CARRIER_G4,0.0005709304619724993
cat__DEST_FLL,0.0005694449459687003
cat__DEST_MDW,0.0005615672223983255
cat__DEST_MIA,0.0005521133831539949
cat__ORIGIN_STATE_ABR_OH,0.0005515407522615769
cat__ORIGIN_BNA,0.0005492692903715128
cat__ORIGIN_FLL,0.000546018141870099
cat__DEST_BNA,0.000545843856930328
cat__OP_UNIQUE_CARRIER_YV,0.0005335882529120483
cat__ORIGIN_SAN,0.0005326762844091577
cat__DEST_STATE_ABR_LA,0.0005287282849278608
cat__DEST_STATE_ABR_HI,0.0005232940709776583
cat__ORIGIN_MDW,0.0005184829180721149
cat__DEST_STATE_ABR_OR,0.0005151338392943954
cat__ORIGIN_MIA,0.0005113418716865979
cat__DEST_AUS,0.0005101655901042906
cat__DEST_TPA,0.0005087652583046239
cat__DEST_DAL,0.0004912781239415469
cat__ORIGIN_DAL,0.00047037884677611394
cat__ORIGIN_TPA,0.0004699514716339024
cat__ORIGIN_AUS,0.00046669108459806465
cat__DEST_STATE_ABR_KY,0.0004630437885030613
cat__DEST_STL,0.00045138757863560935
cat__ORIGIN_STATE_ABR_LA,0.00045021857295824254
cat__ORIGIN_STATE_ABR_OR,0.0004483143325659272
cat__DEST_PDX,0.0004383607128797676
cat__DEST_STATE_ABR_WI,0.0004148061724234694
cat__ORIGIN_STATE_ABR_KY,0.00041473399094989297
cat__ORIGIN_STL,0.00041370134303733187
