YEAR,MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DEL15,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ORIGIN_Air_Carrier,ORIGIN_Air_Taxi,ORIGIN_General_Aviation,ORIGIN_Military_Itinerant,ORIGIN_Total_Itinerant,ORIGIN_Local_Civil,ORIGIN_Local_Military,ORIGIN_Local_Total,ORIGIN_Total_Operations,DEST_Air_Carrier,DEST_Air_Taxi,DEST_General_Aviation,DEST_Military_Itinerant,DEST_Total_Itinerant,DEST_Local_Civil,DEST_Local_Military,DEST_Local_Total,DEST_Total_Operations,ORIGIN_TMAX,ORIGIN_TMIN,ORIGIN_TAVG,ORIGIN_PRCP,ORIGIN_SNWD,ORIGIN_AWND,ORIGIN_WSF2,DEST_TMAX,DEST_TMIN,DEST_TAVG,DEST_PRCP,DEST_SNWD,DEST_AWND,DEST_WSF2,HAS_FAA_DATA
2022,5,3,5/11/2022 12:00:00 AM,OH,,11057,CLT,"Charlotte, NC",NC,12197,HPN,"White Plains, NY",NY,2000,13.0,0.0,24.0,3.0,2159,19.0,1.0,0.0,,119.0,564.0,13.0,0.0,6.0,0.0,0.0,1055.0,130.0,106.0,5.0,1296.0,0.0,0.0,0.0,1296.0,68.0,139.0,211.0,0.0,418.0,0.0,0.0,0.0,418.0,272.0,106.0,197.0,0.0,0.0,47.0,81.0,278.0,133.0,202.0,0.0,0.0,26.0,67.0,1
2022,12,5,12/9/2022 12:00:00 AM,F9,,12889,LAS,"Las Vegas, NV",NV,10397,ATL,"Atlanta, GA",GA,1117,-6.0,0.0,18.0,22.0,1815,-14.0,0.0,0.0,,238.0,1747.0,,,,,,1156.0,441.0,164.0,37.0,1798.0,0.0,0.0,0.0,1798.0,1993.0,100.0,11.0,0.0,2104.0,0.0,0.0,0.0,2104.0,128.0,28.0,74.0,0.0,0.0,10.0,36.0,217.0,139.0,186.0,104.0,0.0,30.0,67.0,1
2022,4,7,4/3/2022 12:00:00 AM,UA,,12892,LAX,"Los Angeles, CA",CA,14771,SFO,"San Francisco, CA",CA,1610,-2.0,0.0,29.0,8.0,1741,-2.0,0.0,0.0,,91.0,337.0,,,,,,1448.0,83.0,55.0,0.0,1586.0,0.0,0.0,0.0,1586.0,789.0,155.0,27.0,5.0,976.0,0.0,0.0,0.0,976.0,183.0,133.0,157.0,0.0,,55.0,89.0,172.0,94.0,140.0,0.0,,78.0,179.0,1
2022,1,6,1/22/2022 12:00:00 AM,OO,,10529,BDL,"Hartford, CT",CT,13930,ORD,"Chicago, IL",IL,1420,23.0,1.0,13.0,14.0,1610,6.0,0.0,0.0,,170.0,783.0,,,,,,112.0,11.0,23.0,0.0,146.0,0.0,0.0,0.0,146.0,1329.0,365.0,0.0,0.0,1694.0,0.0,0.0,0.0,1694.0,-27.0,-149.0,-98.0,0.0,0.0,24.0,54.0,6.0,-71.0,-50.0,5.0,0.0,62.0,103.0,1
2022,10,6,10/15/2022 12:00:00 AM,OO,,14679,SAN,"San Diego, CA",CA,14893,SMF,"Sacramento, CA",CA,1220,26.0,1.0,13.0,5.0,1402,15.0,1.0,0.0,,102.0,480.0,0.0,0.0,0.0,0.0,15.0,423.0,32.0,22.0,4.0,481.0,0.0,0.0,0.0,481.0,249.0,17.0,17.0,0.0,283.0,0.0,0.0,0.0,283.0,228.0,178.0,201.0,5.0,,15.0,54.0,256.0,128.0,188.0,0.0,,35.0,81.0,1
2022,10,5,10/14/2022 12:00:00 AM,UA,,12266,IAH,"Houston, TX",TX,11618,EWR,"Newark, NJ",NJ,600,-9.0,0.0,15.0,22.0,1029,-21.0,0.0,0.0,,209.0,1400.0,,,,,,960.0,190.0,19.0,0.0,1169.0,0.0,0.0,0.0,1169.0,1125.0,44.0,48.0,0.0,1217.0,0.0,0.0,0.0,1217.0,306.0,161.0,236.0,0.0,0.0,28.0,72.0,211.0,100.0,162.0,3.0,0.0,36.0,67.0,1
2022,1,7,1/2/2022 12:00:00 AM,DL,,11433,DTW,"Detroit, MI",MI,12892,LAX,"Los Angeles, CA",CA,2130,80.0,1.0,21.0,5.0,2340,58.0,1.0,0.0,,310.0,1979.0,19.0,0.0,0.0,0.0,39.0,590.0,117.0,9.0,1.0,717.0,0.0,0.0,0.0,717.0,1395.0,104.0,91.0,4.0,1594.0,0.0,0.0,0.0,1594.0,-32.0,-105.0,-39.0,15.0,80.0,47.0,81.0,189.0,72.0,124.0,0.0,,32.0,67.0,1
2022,3,2,3/1/2022 12:00:00 AM,UA,,11618,EWR,"Newark, NJ",NJ,14107,PHX,"Phoenix, AZ",AZ,1040,0.0,0.0,18.0,3.0,1428,-34.0,0.0,0.0,,348.0,2133.0,,,,,,1107.0,37.0,27.0,0.0,1171.0,0.0,0.0,0.0,1171.0,1031.0,109.0,70.0,12.0,1222.0,0.0,0.0,0.0,1222.0,89.0,-10.0,27.0,0.0,0.0,24.0,58.0,289.0,106.0,196.0,0.0,,13.0,40.0,1
2022,11,5,11/4/2022 12:00:00 AM,AS,,13830,OGG,"Kahului, HI",HI,14747,SEA,"Seattle, WA",WA,800,-17.0,0.0,13.0,10.0,1643,-21.0,0.0,0.0,,343.0,2640.0,,,,,,162.0,165.0,30.0,4.0,361.0,60.0,2.0,62.0,423.0,1166.0,12.0,4.0,0.0,1182.0,0.0,0.0,0.0,1182.0,339.0,217.0,270.0,0.0,,48.0,112.0,139.0,56.0,88.0,53.0,0.0,83.0,143.0,1
2022,1,1,1/10/2022 12:00:00 AM,OH,,11066,CMH,"Columbus, OH",OH,14100,PHL,"Philadelphia, PA",PA,1234,15.0,1.0,11.0,3.0,1410,-8.0,0.0,0.0,,96.0,406.0,,,,,,225.0,39.0,38.0,2.0,304.0,0.0,0.0,0.0,304.0,477.0,130.0,39.0,0.0,646.0,0.0,0.0,0.0,646.0,-27.0,-93.0,-51.0,0.0,0.0,62.0,103.0,56.0,-27.0,20.0,0.0,0.0,69.0,134.0,1
2022,2,3,2/23/2022 12:00:00 AM,DL,,12953,LGA,"New York, NY",NY,11433,DTW,"Detroit, MI",MI,2025,-2.0,0.0,32.0,6.0,2238,1.0,0.0,0.0,,133.0,502.0,,,,,,1068.0,16.0,16.0,0.0,1100.0,0.0,0.0,0.0,1100.0,670.0,93.0,14.0,2.0,779.0,0.0,0.0,0.0,779.0,200.0,22.0,144.0,0.0,0.0,64.0,143.0,22.0,-71.0,3.0,0.0,0.0,64.0,130.0,1
2022,11,4,11/10/2022 12:00:00 AM,NK,,13303,MIA,"Miami, FL",FL,11042,CLE,"Cleveland, OH",OH,1255,3.0,0.0,16.0,11.0,1553,-18.0,0.0,0.0,,178.0,1080.0,,,,,,1128.0,66.0,19.0,0.0,1213.0,0.0,0.0,0.0,1213.0,219.0,42.0,20.0,2.0,283.0,0.0,0.0,0.0,283.0,294.0,211.0,239.0,0.0,,49.0,98.0,211.0,117.0,156.0,0.0,0.0,49.0,89.0,1
2022,5,2,5/24/2022 12:00:00 AM,DL,,11292,DEN,"Denver, CO",CO,12892,LAX,"Los Angeles, CA",CA,725,-1.0,0.0,12.0,7.0,855,-23.0,0.0,0.0,,150.0,862.0,,,,,,1403.0,252.0,5.0,0.0,1660.0,0.0,0.0,0.0,1660.0,1441.0,73.0,43.0,2.0,1559.0,0.0,0.0,0.0,1559.0,167.0,56.0,,0.0,0.0,,,200.0,156.0,171.0,0.0,,32.0,67.0,1
2022,3,2,3/15/2022 12:00:00 AM,MQ,,13303,MIA,"Miami, FL",FL,11953,GNV,"Gainesville, FL",FL,1949,-3.0,0.0,12.0,6.0,2108,-13.0,0.0,0.0,,79.0,294.0,,,,,,1201.0,98.0,49.0,1.0,1349.0,0.0,0.0,0.0,1349.0,,,,,,,,,,261.0,217.0,229.0,211.0,,38.0,89.0,,,,,,,,0
2022,5,2,5/17/2022 12:00:00 AM,WN,,10713,BOI,"Boise, ID",ID,14107,PHX,"Phoenix, AZ",AZ,1100,2.0,0.0,7.0,10.0,1200,0.0,0.0,0.0,,120.0,735.0,,,,,,143.0,31.0,165.0,9.0,348.0,64.0,0.0,64.0,412.0,926.0,106.0,65.0,11.0,1108.0,0.0,0.0,0.0,1108.0,233.0,89.0,166.0,0.0,0.0,37.0,81.0,389.0,228.0,317.0,0.0,,28.0,76.0,1
2022,10,6,10/15/2022 12:00:00 AM,DL,,10397,ATL,"Atlanta, GA",GA,10721,BOS,"Boston, MA",MA,2155,-5.0,0.0,23.0,5.0,25,0.0,0.0,0.0,,150.0,946.0,,,,,,1765.0,72.0,13.0,0.0,1850.0,0.0,0.0,0.0,1850.0,802.0,140.0,55.0,0.0,997.0,0.0,0.0,0.0,997.0,272.0,106.0,178.0,0.0,0.0,21.0,63.0,217.0,117.0,160.0,0.0,,33.0,58.0,1
2022,11,2,11/8/2022 12:00:00 AM,UA,,11697,FLL,"Fort Lauderdale, FL",FL,11618,EWR,"Newark, NJ",NJ,2055,2.0,0.0,17.0,5.0,2356,-12.0,0.0,0.0,,181.0,1065.0,,,,,,572.0,90.0,93.0,6.0,761.0,0.0,0.0,0.0,761.0,1128.0,49.0,37.0,1.0,1215.0,0.0,0.0,0.0,1215.0,294.0,228.0,267.0,94.0,,79.0,139.0,167.0,78.0,138.0,0.0,0.0,61.0,107.0,1
2022,3,3,3/30/2022 12:00:00 AM,OO,,11433,DTW,"Detroit, MI",MI,11823,FWA,"Fort Wayne, IN",IN,1745,116.0,1.0,12.0,5.0,1843,104.0,1.0,0.0,,58.0,128.0,0.0,104.0,0.0,0.0,0.0,701.0,87.0,6.0,0.0,794.0,0.0,0.0,0.0,794.0,20.0,29.0,33.0,12.0,94.0,10.0,0.0,10.0,104.0,167.0,-5.0,43.0,23.0,0.0,47.0,76.0,233.0,11.0,86.0,18.0,0.0,38.0,89.0,1
2022,10,3,10/12/2022 12:00:00 AM,WN,,14679,SAN,"San Diego, CA",CA,10423,AUS,"Austin, TX",TX,1530,44.0,1.0,11.0,4.0,2015,20.0,1.0,0.0,,165.0,1164.0,0.0,0.0,0.0,0.0,20.0,552.0,45.0,29.0,5.0,631.0,0.0,0.0,0.0,631.0,561.0,66.0,144.0,14.0,785.0,0.0,0.0,0.0,785.0,233.0,200.0,207.0,0.0,,26.0,67.0,356.0,211.0,270.0,0.0,0.0,31.0,89.0,1
2022,10,2,10/25/2022 12:00:00 AM,DL,,10397,ATL,"Atlanta, GA",GA,10994,CHS,"Charleston, SC",SC,1259,-4.0,0.0,21.0,5.0,1410,-9.0,0.0,0.0,,71.0,259.0,,,,,,1892.0,93.0,21.0,1.0,2007.0,0.0,0.0,0.0,2007.0,117.0,44.0,74.0,24.0,259.0,0.0,4.0,4.0,263.0,256.0,117.0,187.0,46.0,0.0,33.0,81.0,217.0,139.0,,0.0,,21.0,46.0,1
2022,4,4,4/14/2022 12:00:00 AM,OO,,14487,RDD,"Redding, CA",CA,12892,LAX,"Los Angeles, CA",CA,1600,-2.0,0.0,22.0,13.0,1752,-5.0,0.0,0.0,,112.0,501.0,,,,,,,,,,,,,,,1456.0,89.0,46.0,0.0,1591.0,0.0,0.0,0.0,1591.0,,,,,,,,189.0,106.0,149.0,0.0,,44.0,103.0,0
2022,9,7,9/18/2022 12:00:00 AM,OO,,11298,DFW,"Dallas/Fort Worth, TX",TX,11109,COS,"Colorado Springs, CO",CO,1915,-2.0,0.0,40.0,9.0,2014,14.0,0.0,0.0,,119.0,592.0,,,,,,1752.0,133.0,15.0,0.0,1900.0,0.0,0.0,0.0,1900.0,53.0,33.0,150.0,34.0,270.0,80.0,28.0,108.0,378.0,350.0,244.0,294.0,0.0,0.0,47.0,76.0,300.0,117.0,212.0,0.0,0.0,38.0,116.0,1
2022,11,5,11/18/2022 12:00:00 AM,AA,,11057,CLT,"Charlotte, NC",NC,14492,RDU,"Raleigh/Durham, NC",NC,1058,5.0,0.0,12.0,6.0,1151,2.0,0.0,0.0,,53.0,130.0,,,,,,1152.0,179.0,81.0,0.0,1412.0,0.0,0.0,0.0,1412.0,348.0,68.0,179.0,6.0,601.0,0.0,0.0,0.0,601.0,117.0,-38.0,37.0,0.0,0.0,17.0,54.0,122.0,-32.0,33.0,0.0,0.0,14.0,72.0,1
2022,5,3,5/18/2022 12:00:00 AM,AA,,13303,MIA,"Miami, FL",FL,13930,ORD,"Chicago, IL",IL,1815,52.0,1.0,16.0,8.0,2043,30.0,1.0,0.0,,208.0,1197.0,30.0,0.0,0.0,0.0,0.0,1221.0,83.0,47.0,2.0,1353.0,0.0,0.0,0.0,1353.0,1566.0,474.0,14.0,0.0,2054.0,0.0,0.0,0.0,2054.0,328.0,244.0,280.0,0.0,,28.0,67.0,156.0,111.0,129.0,74.0,0.0,32.0,67.0,1
