feature,coefficient,abs_coefficient
cat__DEST_BET,-1.4807983558638274,1.4807983558638274
cat__ORIGIN_VLD,-1.3654837543636495,1.3654837543636495
cat__DEST_GCK,-1.1452437250183518,1.1452437250183518
cat__DEST_PSG,-1.0746198374114748,1.0746198374114748
cat__DEST_COD,1.0738447672566562,1.0738447672566562
cat__ORIGIN_PRC,1.0470321602959005,1.0470321602959005
cat__DEST_WRG,1.0315927102275733,1.0315927102275733
cat__ORIGIN_ATL,-1.0178686389318166,1.0178686389318166
cat__DEST_GJT,-0.9911153299961672,0.9911153299961672
cat__DEST_JAC,0.9609369856675067,0.9609369856675067
cat__DEST_SWO,-0.9228517013851368,0.9228517013851368
cat__DEST_GCC,-0.9033831545257628,0.9033831545257628
cat__DEST_OTZ,0.8913580542717577,0.8913580542717577
cat__ORIGIN_DLG,0.8858408702341697,0.8858408702341697
cat__ORIGIN_BGM,0.8735773416987558,0.8735773416987558
cat__ORIGIN_STATE_ABR_HI,-0.8657071066769078,0.8657071066769078
cat__DEST_ADQ,0.8138436694136771,0.8138436694136771
cat__DEST_YUM,-0.7986811727694989,0.7986811727694989
cat__ORIGIN_BQK,0.7774098811861311,0.7774098811861311
cat__DEST_EAU,-0.7741279787415457,0.7741279787415457
cat__DEST_LWS,-0.7679184661964253,0.7679184661964253
cat__DEST_SPS,-0.7606652636132815,0.7606652636132815
cat__ORIGIN_PGV,0.7593994370857724,0.7593994370857724
cat__DEST_RIW,-0.7563534683165742,0.7563534683165742
cat__DEST_FSM,-0.7492535321339542,0.7492535321339542
cat__ORIGIN_HDN,0.7482025609513991,0.7482025609513991
cat__ORIGIN_SCC,-0.731538374386631,0.731538374386631
cat__ORIGIN_GRI,0.7276501956542645,0.7276501956542645
cat__ORIGIN_ALO,-0.7268324202978338,0.7268324202978338
cat__ORIGIN_LAX,-0.6961847430615719,0.6961847430615719
cat__ORIGIN_IDA,-0.6744637013794587,0.6744637013794587
cat__ORIGIN_IMT,0.6727752446725251,0.6727752446725251
cat__DEST_LAN,-0.671160705332702,0.671160705332702
cat__ORIGIN_STATE_ABR_AK,-0.6576626508849861,0.6576626508849861
cat__DEST_OTH,0.6455448695513525,0.6455448695513525
cat__ORIGIN_PHF,-0.6440361488383506,0.6440361488383506
cat__DEST_HLN,-0.6426939875636546,0.6426939875636546
cat__DEST_ROA,-0.6346673165892542,0.6346673165892542
cat__DEST_GTR,0.6268553360924125,0.6268553360924125
cat__DEST_BRW,-0.6267880202826956,0.6267880202826956
cat__DEST_ABR,-0.6238475741214878,0.6238475741214878
cat__DEST_ASE,0.6228924995487709,0.6228924995487709
cat__ORIGIN_SCE,0.6210674465268876,0.6210674465268876
cat__ORIGIN_YUM,-0.6209158366189229,0.6209158366189229
cat__ORIGIN_ITO,-0.6197104891009494,0.6197104891009494
cat__DEST_LBL,0.6196710156190989,0.6196710156190989
cat__DEST_DRT,-0.6109731836954154,0.6109731836954154
cat__DEST_ROW,-0.6054903021475093,0.6054903021475093
cat__ORIGIN_PBG,-0.5903751758495952,0.5903751758495952
cat__DEST_MFR,-0.5840445857719561,0.5840445857719561
cat__ORIGIN_MHK,-0.583156567513723,0.583156567513723
cat__DEST_PLN,0.5829921351909161,0.5829921351909161
cat__ORIGIN_GUM,-0.5807911239479085,0.5807911239479085
cat__DEST_EGE,0.5734543862652224,0.5734543862652224
cat__DEST_BMI,-0.5697667776119503,0.5697667776119503
cat__ORIGIN_ABY,0.567081717707768,0.567081717707768
cat__ORIGIN_VEL,-0.5662360345927242,0.5662360345927242
cat__ORIGIN_YAK,-0.5588601086331886,0.5588601086331886
cat__ORIGIN_JLN,0.5501590697152344,0.5501590697152344
cat__ORIGIN_UIN,0.5491404276991934,0.5491404276991934
cat__DEST_EKO,-0.5455322815317312,0.5455322815317312
cat__DEST_HRL,0.5452409010620254,0.5452409010620254
cat__ORIGIN_BPT,0.5406484180035176,0.5406484180035176
cat__ORIGIN_SWF,0.535990451243203,0.535990451243203
cat__ORIGIN_PVU,0.5338890344570019,0.5338890344570019
cat__DEST_SLN,0.532368134441588,0.532368134441588
cat__ORIGIN_CYS,-0.5302238217918042,0.5302238217918042
cat__DEST_PAE,-0.5297088832688318,0.5297088832688318
cat__ORIGIN_RKS,-0.5289388677793322,0.5289388677793322
cat__ORIGIN_RDD,0.5108695118471861,0.5108695118471861
cat__DEST_BOI,0.5081957832290567,0.5081957832290567
cat__DEST_STC,0.5038814681282864,0.5038814681282864
cat__DEST_INL,-0.5031003348897569,0.5031003348897569
cat__DEST_EAR,-0.4995819172278955,0.4995819172278955
cat__ORIGIN_LSE,-0.49903819345525247,0.49903819345525247
cat__ORIGIN_EKO,-0.4987165330867361,0.4987165330867361
cat__ORIGIN_DAB,-0.4983330099104308,0.4983330099104308
cat__DEST_OME,0.4972360810641768,0.4972360810641768
cat__ORIGIN_SFB,0.49532406255892336,0.49532406255892336
cat__ORIGIN_PLN,-0.49482467261184,0.49482467261184
cat__DEST_STATE_ABR_MN,-0.4927244456436736,0.4927244456436736
cat__DEST_XNA,0.4900758950899987,0.4900758950899987
cat__ORIGIN_LCK,-0.4899081144064356,0.4899081144064356
cat__ORIGIN_GGG,0.48750506416696227,0.48750506416696227
cat__ORIGIN_SPN,0.4869605872274381,0.4869605872274381
cat__DEST_LRD,-0.48022354429222663,0.48022354429222663
cat__DEST_ABI,-0.4794493605670161,0.4794493605670161
cat__DEST_SWF,0.4761125101095018,0.4761125101095018
cat__DEST_GUM,0.4717547936151664,0.4717547936151664
cat__DEST_LAR,-0.47020340746194894,0.47020340746194894
cat__ORIGIN_ADK,0.4698682170409983,0.4698682170409983
cat__DEST_SHR,-0.4670649972272785,0.4670649972272785
cat__DEST_HDN,0.46650805617456104,0.46650805617456104
cat__ORIGIN_STATE_ABR_UT,-0.46176511802910924,0.46176511802910924
cat__DEST_CNY,0.4594975207756389,0.4594975207756389
cat__ORIGIN_XWA,-0.4585520363726862,0.4585520363726862
cat__ORIGIN_BQN,0.4566772738494057,0.4566772738494057
cat__DEST_STATE_ABR_WY,-0.45565472623978126,0.45565472623978126
cat__DEST_BQK,-0.45422591233344173,0.45422591233344173
cat__DEST_BPT,0.4523753887550235,0.4523753887550235
cat__DEST_TBN,0.45052917904537043,0.45052917904537043
cat__DEST_ATL,-0.4494024681387254,0.4494024681387254
cat__DEST_HOB,-0.44932040040590776,0.44932040040590776
cat__DEST_PRC,0.4465881393250775,0.4465881393250775
cat__OP_UNIQUE_CARRIER_DL,-0.4452038748387088,0.4452038748387088
cat__DEST_BLI,0.44510469552070137,0.44510469552070137
cat__ORIGIN_CSG,0.4445336766356262,0.4445336766356262
cat__ORIGIN_EAU,0.4442068200805052,0.4442068200805052
cat__DEST_PGD,0.443755093090106,0.443755093090106
cat__ORIGIN_LYH,0.4426517769693043,0.4426517769693043
cat__ORIGIN_STS,0.44216446237488677,0.44216446237488677
cat__DEST_ATW,0.43881714659340176,0.43881714659340176
cat__DEST_SAF,0.43598842993999976,0.43598842993999976
cat__ORIGIN_LBF,-0.43574957757368793,0.43574957757368793
cat__ORIGIN_BTM,0.4354338317589739,0.4354338317589739
cat__ORIGIN_CHO,0.43215995605232627,0.43215995605232627
cat__DEST_HIB,-0.432089568799409,0.432089568799409
cat__DEST_PBG,0.4314041813368676,0.4314041813368676
cat__DEST_BZN,0.4299993016656634,0.4299993016656634
cat__ORIGIN_ACV,-0.42681275796559665,0.42681275796559665
cat__ORIGIN_GJT,-0.426688575929482,0.426688575929482
cat__DEST_ITO,-0.4260055102784703,0.4260055102784703
cat__DEST_LAX,-0.42471483395931886,0.42471483395931886
cat__ORIGIN_AGS,0.42029060917408345,0.42029060917408345
cat__ORIGIN_GTF,-0.41904613020494536,0.41904613020494536
cat__DEST_PHF,0.4188394998919461,0.4188394998919461
cat__DEST_SGU,-0.4188124886746726,0.4188124886746726
cat__DEST_ALO,-0.41830493711725425,0.41830493711725425
