model,threshold,accuracy,precision,recall,f1
Random Forest,0.5,0.8099812707836966,0.5300021819768711,0.15991836197248008,0.24570099130082945
Random Forest,0.4,0.7609030794908711,0.38923639066080384,0.4137862927118309,0.4011360735256574
Random Forest,0.35,0.6915540153146381,0.3284518828451883,0.5685035222858648,0.41635526410954943
Random Forest,0.3,0.5852943799610126,0.2801641171107284,0.7282902100204095,0.40466043568123206
Logistic Regression,0.5,0.6283970593856307,0.28764167856817285,0.6232141681480018,0.39361304004324504
Logistic Regression,0.4,0.46057308853695517,0.239877359394462,0.8241490552373428,0.3715973520942797
Logistic Regression,0.35,0.3745715851032655,0.22297948843670834,0.8982158140759761,0.3572681802707728
Logistic Regression,0.3,0.2978837259673576,0.209416766153219,0.9470011192310225,0.3429865871833085
Gradient Boosting,0.5,0.8121090116834635,0.6349206349206349,0.06847060372638093,0.12361086349319546
Gradient Boosting,0.4,0.8107457285919961,0.5375982042648709,0.15767989992757916,0.24384035837914886
Gradient Boosting,0.35,0.804833921541147,0.49104042228087236,0.2327342155507275,0.31579417545113453
Gradient Boosting,0.3,0.7859772956030935,0.4312686885946177,0.33234577654881825,0.3753997174090875
