feature,importance
num__CRS_DEP_HOUR,0.04406900520091862
num__CRS_ARR_HOUR,0.03992164555275433
num__ORIGIN_Air_Carrier,0.02779326584992968
num__ORIGIN_Total_Operations,0.027582888539654186
num__ORIGIN_Total_Itinerant,0.027425418639234832
num__DEST_Air_Carrier,0.027402870435563394
num__DEST_Total_Itinerant,0.026999151482359637
num__ORIGIN_Air_Taxi,0.026974282347683728
num__DEST_Total_Operations,0.026964140448371737
num__ORIGIN_TAVG,0.026909191358805228
num__DEST_Air_Taxi,0.026776042735895664
num__CRS_ELAPSED_TIME,0.02670984614847758
num__ORIGIN_TMAX,0.026416494757657002
num__ORIGIN_TMIN,0.026369424401992123
num__DEST_TAVG,0.025654845080476805
num__ORIGIN_General_Aviation,0.02558915217197681
num__DEST_General_Aviation,0.02553708097876595
num__DEST_AWND,0.025249717115608403
num__DEST_TMIN,0.025243287020341156
num__DEST_TMAX,0.025160146455954224
num__ORIGIN_AWND,0.024960179643023255
num__ORIGIN_PRCP,0.0248458603959757
num__DISTANCE,0.02469956576992883
num__FL_DAY,0.02398728524744399
num__DEST_WSF2,0.023281439692623838
num__ORIGIN_WSF2,0.02319973323427538
num__DEST_PRCP,0.023079267669791497
num__MONTH,0.01931062210252456
num__DEST_Military_Itinerant,0.01658847465978285
num__ORIGIN_Military_Itinerant,0.016569761468401247
num__DAY_OF_WEEK,0.015413419064252075
num__DEST_Local_Total,0.006787002289844247
num__DEST_Local_Civil,0.006295165660514492
num__ORIGIN_Local_Total,0.006086370850636057
num__ORIGIN_Local_Civil,0.005671711178814739
cat__OP_UNIQUE_CARRIER_DL,0.0048430421759399255
cat__OP_UNIQUE_CARRIER_WN,0.003936557182595272
num__ORIGIN_SNWD,0.003035561445756418
cat__OP_UNIQUE_CARRIER_AA,0.0028497411472657936
num__DEST_Local_Military,0.002655388393689612
cat__OP_UNIQUE_CARRIER_OO,0.0026474363412749943
cat__OP_UNIQUE_CARRIER_UA,0.002535047307125431
cat__DEST_STATE_ABR_TX,0.002313872313683535
cat__DEST_STATE_ABR_CA,0.0022951449163051947
num__ORIGIN_Local_Military,0.002242919325108013
num__DEST_SNWD,0.0022268498920643156
cat__ORIGIN_STATE_ABR_TX,0.0021987225024840316
cat__ORIGIN_STATE_ABR_CA,0.002169542956351096
cat__OP_UNIQUE_CARRIER_B6,0.002124422419654449
cat__DEST_STATE_ABR_FL,0.0018529100730053135
cat__ORIGIN_STATE_ABR_FL,0.0017288325865404683
cat__OP_UNIQUE_CARRIER_F9,0.001717578845695061
cat__DEST_STATE_ABR_NY,0.0015313216371089663
cat__DEST_STATE_ABR_IL,0.001451047471290148
cat__ORIGIN_STATE_ABR_NY,0.001441503811869207
cat__ORIGIN_STATE_ABR_IL,0.0013700941609960972
cat__OP_UNIQUE_CARRIER_NK,0.0013425031774425905
cat__OP_UNIQUE_CARRIER_EV,0.0013117040559016257
cat__DEST_STATE_ABR_GA,0.001257223144081311
cat__OP_UNIQUE_CARRIER_YX,0.0012417977639222954
cat__DEST_SFO,0.0012337594409280248
cat__DEST_STATE_ABR_NC,0.0012203642937100257
cat__OP_UNIQUE_CARRIER_MQ,0.0011875622265110745
cat__DEST_STATE_ABR_VA,0.0011853159749156262
cat__OP_UNIQUE_CARRIER_AS,0.0011648642298690874
cat__ORIGIN_STATE_ABR_NC,0.0011593575571129313
cat__DEST_ATL,0.0011511373768340332
cat__ORIGIN_STATE_ABR_GA,0.0011273755423333524
cat__DEST_DFW,0.0011172526853660506
cat__ORIGIN_STATE_ABR_VA,0.001074958812549989
cat__DEST_LAX,0.0010712903422620094
cat__ORIGIN_ATL,0.0010595759526357599
cat__DEST_EWR,0.0009950026408904538
cat__DEST_STATE_ABR_CO,0.0009923577791440409
cat__DEST_STATE_ABR_MI,0.0009917221779674862
cat__DEST_STATE_ABR_AZ,0.0009741867449269839
cat__ORIGIN_STATE_ABR_MI,0.0009702436702613672
cat__DEST_ORD,0.0009685595169286842
cat__ORIGIN_DFW,0.0009631276156382884
cat__DEST_STATE_ABR_NJ,0.0009453164046367829
cat__ORIGIN_STATE_ABR_AZ,0.0009375907624546903
cat__OP_UNIQUE_CARRIER_9E,0.0009284960452637575
cat__ORIGIN_SFO,0.0009096014129326513
cat__DEST_STATE_ABR_WA,0.0009049113932147833
cat__DEST_IAH,0.0009044809605015194
cat__DEST_STATE_ABR_PA,0.0009000909193188643
cat__ORIGIN_STATE_ABR_MN,0.0008930327856012751
cat__ORIGIN_LAX,0.0008852548289417005
cat__ORIGIN_ORD,0.0008845368240848715
cat__DEST_PHX,0.0008781439278922071
cat__DEST_STATE_ABR_NV,0.000877476416366818
cat__ORIGIN_STATE_ABR_CO,0.000876109979256313
cat__DEST_CLT,0.000869143447493773
cat__DEST_DTW,0.0008689498509674227
cat__ORIGIN_STATE_ABR_PA,0.0008637600136716119
cat__DEST_STATE_ABR_MN,0.0008614904316212038
cat__DEST_LGA,0.0008456368441265841
cat__OP_UNIQUE_CARRIER_OH,0.0008424554795038805
cat__ORIGIN_IAH,0.0008373545468007884
cat__ORIGIN_STATE_ABR_NJ,0.000833478338374944
cat__DEST_DEN,0.0008261549027587196
cat__ORIGIN_MSP,0.0008242530694590221
cat__DEST_MCO,0.0008189007504308744
cat__ORIGIN_PHX,0.0008185540528320004
cat__DEST_STATE_ABR_MA,0.0008164387844490461
cat__DEST_BOS,0.0008159828892877927
cat__ORIGIN_LGA,0.0008159421447962538
cat__ORIGIN_STATE_ABR_NV,0.0008101632392844329
cat__DEST_MSP,0.0007952401538123241
cat__DEST_LAS,0.0007885767497888041
cat__ORIGIN_CLT,0.0007875959205860702
cat__ORIGIN_DTW,0.0007852085212969664
cat__DEST_STATE_ABR_TN,0.0007724354586301442
cat__ORIGIN_EWR,0.0007719078055618439
cat__ORIGIN_STATE_ABR_WA,0.0007687741845517584
cat__ORIGIN_MCO,0.0007662234448425521
cat__DEST_STATE_ABR_MO,0.0007637388001435591
cat__DEST_SEA,0.0007549576480148036
cat__ORIGIN_BOS,0.0007511178549205807
cat__ORIGIN_STATE_ABR_TN,0.0007468515339653938
cat__ORIGIN_STATE_ABR_MA,0.0007448578418739756
cat__ORIGIN_DEN,0.0007439627738609323
cat__DEST_SLC,0.0007324007717119387
cat__DEST_STATE_ABR_UT,0.0007291640410812203
cat__DEST_DCA,0.0007151026337600641
cat__ORIGIN_LAS,0.0007140737788292572
cat__ORIGIN_STATE_ABR_MO,0.0006860071615858892
cat__ORIGIN_SEA,0.0006806872921666635
cat__ORIGIN_JFK,0.0006760902250941292
cat__DEST_JFK,0.0006659728188357175
cat__ORIGIN_STATE_ABR_UT,0.0006587093032924771
cat__DEST_STATE_ABR_OH,0.0006476193724943449
cat__ORIGIN_SLC,0.0006418965153597367
cat__DEST_STATE_ABR_MD,0.0006339317466547552
cat__DEST_BWI,0.0006252573057351616
cat__DEST_PHL,0.0006236910967661242
cat__ORIGIN_DCA,0.0006116186091123075
cat__ORIGIN_BWI,0.0006096319026755925
cat__ORIGIN_STATE_ABR_HI,0.0005990960283414748
cat__ORIGIN_STATE_ABR_MD,0.0005921328441492488
cat__ORIGIN_PHL,0.0005851152195035995
cat__OP_UNIQUE_CARRIER_G4,0.0005843365711788574
cat__DEST_SAN,0.0005810965641731153
cat__DEST_FLL,0.0005795021909777068
cat__ORIGIN_STATE_ABR_OH,0.0005750984145037165
cat__DEST_MIA,0.0005749704185455309
cat__DEST_MDW,0.0005614388021768894
cat__DEST_BNA,0.0005442781590854743
cat__ORIGIN_FLL,0.0005392927093207159
cat__DEST_AUS,0.0005350387709133943
cat__ORIGIN_MIA,0.0005275050269512423
cat__ORIGIN_BNA,0.0005251402808987517
cat__OP_UNIQUE_CARRIER_YV,0.0005196731889141341
cat__DEST_STATE_ABR_LA,0.00051914335086808
cat__DEST_TPA,0.0005181924767482486
cat__DEST_STATE_ABR_OR,0.0005167714066017496
cat__ORIGIN_MDW,0.0005147356929722448
cat__ORIGIN_SAN,0.0005135895953818475
cat__DEST_STATE_ABR_HI,0.0005069971850467
cat__DEST_DAL,0.00047554332028993464
cat__DEST_STATE_ABR_KY,0.0004745264359345107
cat__ORIGIN_STATE_ABR_LA,0.000464816718391812
cat__ORIGIN_TPA,0.00046198363102626484
cat__ORIGIN_DAL,0.0004573549846115081
cat__ORIGIN_AUS,0.00045079054826203865
cat__DEST_STL,0.0004497631882164324
cat__ORIGIN_STATE_ABR_OR,0.00044801411422016354
cat__ORIGIN_STATE_ABR_KY,0.00043107451576723484
cat__DEST_PDX,0.00042815544254898763
cat__DEST_STATE_ABR_WI,0.00042722267788496647
cat__ORIGIN_STL,0.0004103839448620667
cat__DEST_STATE_ABR_IN,0.0004069601067872677
cat__DEST_MSY,0.0004038048060969987
cat__DEST_RDU,0.0003961252658036783
cat__DEST_IAD,0.0003896420869530812
cat__ORIGIN_HOU,0.00038895339084562126
cat__DEST_HOU,0.00038014266523741564
cat__ORIGIN_PDX,0.00037256238705730174
cat__OP_UNIQUE_CARRIER_HA,0.0003713436239193593
cat__ORIGIN_IAD,0.00036635694942947555
cat__DEST_MCI,0.00035812084536489773
cat__DEST_SJC,0.00035651915908265484
cat__ORIGIN_STATE_ABR_WI,0.00035458354628942066
